factsheet,topic,attribute,subattribute,#,value,,,,,,,,,,,,,,,,,
LED,publications,reference,ris,1,"TY  - JOUR
AB  - Scenarios that limit global warming to 1.5 °C describe major transformations in energy supply and ever-rising energy demand. Here, we provide a contrasting perspective by developing a narrative of future change based on observable trends that results in low energy demand. We describe and quantify changes in activity levels and energy intensity in the global North and global South for all major energy services. We project that global final energy demand by 2050 reduces to 245 EJ, around 40% lower than today, despite rises in population, income and activity. Using an integrated assessment modelling framework, we show how changes in the quantity and type of energy services drive structural change in intermediate and upstream supply sectors (energy and land use). Down-sizing the global energy system dramatically improves the feasibility of a low-carbon supply-side transformation. Our scenario meets the 1.5 °C climate target as well as many sustainable development goals, without relying on negative emission technologies.
AU  - Grubler, Arnulf
AU  - Wilson, Charlie
AU  - Bento, Nuno
AU  - Boza-Kiss, Benigna
AU  - Krey, Volker
AU  - McCollum, David L.
AU  - Rao, Narasimha D.
AU  - Riahi, Keywan
AU  - Rogelj, Joeri
AU  - De Stercke, Simon
AU  - Cullen, Jonathan
AU  - Frank, Stefan
AU  - Fricko, Oliver
AU  - Guo, Fei
AU  - Gidden, Matt
AU  - Havlík, Petr
AU  - Huppmann, Daniel
AU  - Kiesewetter, Gregor
AU  - Rafaj, Peter
AU  - Schoepp, Wolfgang
AU  - Valin, Hugo
DA  - 2018/06/01
DO  - 10.1038/s41560-018-0172-6
L1  - https://doi.org/10.1038/s41560-018-0172-6
IS  - 6
PY  - 2018
SN  - 2058-7546
SP  - 515-527
ST  - A low energy demand scenario for meeting the 1.5 °C target and sustainable development goals without negative emission technologies
T2  - Nature Energy
TI  - A low energy demand scenario for meeting the 1.5 °C target and sustainable development goals without negative emission technologies
UR  - https://doi.org/10.1038/s41560-018-0172-6
VL  - 3
ID  - 212
ER  - ",,,,,,,,,,,,,,,,,
LED,diagnostics,source,name,1,N/A,,,,,,,,,,,,,,,,,
LED,diagnostics,source,link,1,N/A,,,,,,,,,,,,,,,,,
LED,models,preamble,,,The LED study uses a single integrated assessment model to explore a low energy demand transformation.,,,,,,,,,,,,,,,,,
LED,models,model,name,1,MESSAGEix-GLOBIOM,,,,,,,,,,,,,,,,,
LED,models,model,version,1,1.0,,,,,,,,,,,,,,,,,
LED,year,,,,2018,,,,,,,,,,,,,,,,,
LED,project,,,,Low Energy Demand (LED),,,,,,,,,,,,,,,,,
LED,keywords,keyword,,1,energy efficiency,,,,,,,,,,,,,,,,,
LED,keywords,keyword,,2,1.5 °C,,,,,,,,,,,,,,,,,
LED,keywords,keyword,,3,decent living energy,,,,,,,,,,,,,,,,,
LED,keywords,keyword,,4,co-benefits,,,,,,,,,,,,,,,,,
LED,keywords,keyword,,5,negative emission technologies,,,,,,,,,,,,,,,,,
LED,regional coverage,region,,1,World,,,,,,,,,,,,,,,,,
LED,regional coverage,region,,2,Global North,,,,,,,,,,,,,,,,,
LED,regional coverage,region,,3,Global South,,,,,,,,,,,,,,,,,
LED,time horizon,start,,,2020,,,,,,,,,,,,,,,,,
LED,time horizon,end,,,2100,,,,,,,,,,,,,,,,,
